obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,24,196,230,54,30
2,2,290,148,130,6
3,2,280,232,68,10
4,2,328,150,126,14
5,391,244,140,94,6
6,453,356,92,74,22
7,6,352,222,56,8
8,2,294,108,104,26
9,2,252,128,72,26
10,151,358,216,72,20
11,2,264,244,78,14
12,6,256,122,80,6
13,4,160,162,84,14
14,2,248,144,118,18
15,2,220,136,74,12
16,201,162,110,80,34
17,2,286,186,78,6
18,323,214,118,70,14
19,265,252,146,44,14
20,2,288,112,96,10
21,265,252,142,110,6
22,305,202,226,100,14
23,327,194,166,164,8
24,2,334,120,136,8
25,2,212,128,70,12
26,263,308,202,54,18
27,2,326,156,132,10
28,2,186,276,80,16
29,297,270,212,174,6
30,389,194,186,156,28
31,339,176,202,160,56
32,2,278,144,48,10
33,12,312,224,174,10
34,2,316,268,102,18
35,28,382,114,162,8
36,2,324,212,94,8
37,2,184,148,46,8
38,231,222,214,96,12
39,6,192,170,164,10
40,225,240,144,80,32
41,2,196,168,56,14
42,2,328,300,160,14
43,2,236,186,70,28
44,4,272,192,106,6
45,2,242,208,78,14
46,4,270,222,148,26
47,4,168,150,106,12
48,363,254,164,82,8
49,187,276,228,178,38
50,487,236,162,180,6
51,2,268,148,70,16
52,289,156,260,84,54
53,2,266,146,52,20
54,379,180,204,58,38
55,2,228,152,54,22
56,8,226,168,104,18
57,247,250,178,128,26
58,4,180,118,100,6
59,6,238,172,56,16
60,2,266,218,80,10
61,6,224,224,174,6
62,2,214,106,134,6
63,305,220,166,114,10
64,4,298,190,82,26
65,2,302,168,96,18
66,2,292,106,58,24
67,307,374,196,82,36
68,2,334,224,90,8
69,4,308,104,116,18
70,273,258,210,86,8
71,4,192,148,90,8
72,311,206,162,92,8
73,281,222,180,138,16
74,2,382,196,94,12
75,4,278,130,72,22
76,259,230,160,102,8
77,269,266,326,144,38
78,301,234,192,96,24
79,2,210,152,44,22
80,219,212,110,118,78
81,2,398,290,76,48
82,325,224,184,66,10
83,2,228,178,54,16
84,14,208,152,128,30
85,2,248,246,52,22
86,2,302,144,154,16
87,2,294,216,84,20
88,20,228,218,94,10
89,2,262,196,38,6
90,281,280,134,80,18
91,293,172,122,100,8
92,299,254,296,52,6
93,321,258,138,54,14
94,259,286,180,68,12
95,255,306,244,106,42
96,10,33,110,62,48
97,281,274,160,68,42
98,10,244,144,88,6
99,219,166,142,186,10
100,2,276,188,120,26
101,2,240,142,74,34
102,2,248,176,84,18
103,6,208,162,76,34
104,2,270,126,96,6
105,287,216,146,96,28
106,2,170,172,94,12
107,2,294,172,106,18
108,2,264,164,66,16
109,6,270,98,80,14
110,2,252,184,66,6
111,307,214,240,116,6
112,299,392,152,80,18
113,2,188,136,36,18
114,2,152,198,124,8
115,175,336,130,64,6
116,345,248,76,104,16
117,4,210,134,160,34
118,243,304,148,100,8
119,339,242,106,194,10
120,203,304,186,62,36
121,275,276,260,100,10
122,2,176,190,190,16
123,4,262,160,94,14
124,265,156,184,110,24
125,2,244,258,66,30
126,2,356,160,164,12
127,2,246,144,66,56
128,10,326,202,66,16
129,2,204,186,62,52
130,6,266,184,70,50
131,2,254,192,62,22
132,2,198,178,74,12
133,287,272,134,102,46
134,2,230,112,30,30
135,2,294,134,94,20
136,4,272,184,86,8
137,351,242,202,54,10
138,18,336,144,74,24
139,8,348,158,144,30
140,22,348,276,112,8
141,2,222,160,122,22
142,2,306,200,136,20
143,4,298,144,58,38
144,2,182,160,98,22
145,323,260,166,56,12
146,313,306,180,72,10
147,2,340,134,94,70
148,2,222,198,120,16
149,285,192,152,206,20
150,243,138,128,238,6
151,257,218,144,142,28
152,179,268,186,90,16
153,2,298,228,120,12
154,32,246,220,66,20
155,281,136,262,188,56
156,2,258,170,40,18
157,10,330,180,82,12
158,14,178,114,100,26
159,2,252,216,144,8
160,243,280,140,86,8
161,2,372,144,76,22
162,2,280,118,112,16
163,2,194,140,66,18
164,6,162,242,94,34
165,8,176,178,88,20
166,237,190,184,88,6
167,2,342,204,118,28
168,331,314,272,44,10
169,221,266,138,108,10
170,205,200,314,56,10
171,4,208,178,108,26
172,349,272,116,82,10
173,4,262,208,54,8
174,4,312,144,94,42
175,14,344,204,56,20
176,301,216,158,96,12
177,349,314,198,136,26
178,2,166,216,88,8
179,8,284,188,108,20
180,4,292,128,102,20
181,313,274,162,156,40
182,6,332,180,128,26
183,2,288,144,68,8
184,319,238,232,48,36
185,2,274,192,106,20
186,8,214,188,92,28
187,285,216,164,100,26
188,2,238,160,108,10
189,2,230,154,132,20
190,197,322,270,74,26
191,277,256,160,102,12
192,2,246,110,176,30
193,2,158,152,58,28
194,4,308,136,110,32
195,4,286,132,116,38
196,8,186,264,146,12
197,199,176,158,58,10
198,2,292,274,98,34
199,2,226,120,64,50
200,2,274,186,152,28
201,2,152,204,90,16
202,191,224,194,116,20
203,365,258,142,76,12
204,2,276,148,94,16
205,28,216,158,74,10
206,2,240,236,80,6
207,2,310,152,126,12
208,2,194,184,256,28
209,237,284,242,98,56
210,12,342,150,82,24
211,299,276,154,78,18
212,293,310,152,80,20
213,22,290,144,106,30
214,277,424,214,96,36
215,20,252,138,54,12
216,10,294,196,60,72
217,2,216,184,176,24
218,2,180,118,84,10
219,8,332,218,122,14
220,2,172,166,102,18
221,289,356,136,52,8
222,267,250,194,58,12
223,2,158,120,88,30
224,2,182,140,92,12
225,187,178,172,44,8
226,2,300,162,112,8
227,251,238,96,66,40
228,2,240,138,82,48
229,149,226,140,80,20
230,6,278,232,122,52
231,273,228,266,78,20
232,2,210,202,86,40
233,227,306,142,96,38
234,2,370,98,98,72
235,2,192,266,76,14
236,269,236,186,58,20
237,4,204,178,116,8
238,16,326,136,124,26
239,2,292,158,98,30
240,2,336,248,76,6
241,6,334,196,106,8
242,2,228,172,118,8
243,6,292,142,98,32
244,2,210,128,112,28
245,161,290,138,174,12
246,24,250,198,82,14
247,6,402,194,130,10
248,2,226,224,40,6
249,2,194,176,134,12
250,2,234,314,84,22
251,4,224,116,52,6
252,2,214,124,108,46
253,4,370,108,86,38
254,2,156,188,68,10
255,213,192,182,144,18
256,193,390,172,82,14
257,2,180,236,104,26
258,2,322,136,90,34
259,2,258,156,74,6
260,2,224,140,110,10
261,2,376,148,84,24
262,2,216,200,160,14
263,4,200,174,74,42
264,2,276,168,152,16
265,219,208,156,148,18
266,273,186,144,126,6
267,253,210,188,82,32
268,8,212,146,60,48
269,379,230,190,78,38
270,4,278,222,102,10
271,317,246,184,76,18
272,303,300,208,58,8
273,4,294,144,76,18
274,287,198,190,104,8
275,2,286,224,72,6
276,8,202,204,54,12
277,2,212,170,114,46
278,4,210,190,100,10
279,307,276,252,114,44
280,2,292,142,136,18
281,217,242,150,108,8
282,241,368,154,70,18
283,2,268,184,150,6
284,251,284,120,118,8
285,2,340,186,82,34
286,2,272,188,118,24
287,355,228,158,56,10
288,2,260,130,118,10
289,237,278,158,102,14
290,6,170,118,132,6
291,4,356,200,82,8
292,2,398,192,54,34
293,4,240,164,114,48
294,2,244,170,110,10
295,191,304,262,112,8
296,14,268,118,76,16
297,4,128,118,80,40
298,4,304,216,84,12
299,4,264,172,104,18
300,213,180,210,94,14
301,2,262,126,50,14
302,345,208,190,162,14
303,237,184,200,90,12
304,247,262,222,92,54
305,12,166,204,110,8
306,4,258,206,88,6
307,171,218,114,72,8
308,207,236,112,150,12
309,2,170,228,136,48
310,12,342,160,124,6
311,327,164,126,78,16
312,279,416,188,54,10
313,295,280,232,74,8
314,6,278,230,80,28
315,191,276,226,118,12
316,2,194,96,98,14
317,4,170,188,124,34
318,193,212,152,46,30
319,2,286,440,82,46
320,229,280,142,112,6
321,247,256,238,136,12
322,2,212,200,86,48
323,2,162,154,98,8
324,2,188,156,82,6
325,187,192,180,98,16
326,8,194,164,54,22
327,4,218,148,66,58
328,315,234,346,92,6
329,2,254,180,124,10
330,24,176,96,142,8
331,381,220,202,178,12
332,353,176,140,116,16
333,2,316,96,104,16
334,223,450,130,82,26
335,2,252,184,62,118
336,275,244,168,74,14
337,259,274,214,144,26
338,2,292,192,82,12
339,345,256,110,94,8
340,287,234,116,124,18
341,287,312,260,72,44
342,355,130,108,146,6
343,343,224,198,88,16
344,2,260,212,70,22
345,6,258,182,162,10
346,2,166,156,104,10
347,24,234,242,68,32
348,2,198,156,106,12
349,225,214,116,84,22
350,2,178,192,80,8
351,255,258,110,60,86
352,239,180,198,88,28
353,2,180,292,82,10
354,8,87,222,70,6
355,303,242,116,126,14
356,2,220,106,230,8
357,2,248,214,120,32
358,6,274,166,128,10
359,185,190,192,130,10
360,261,242,112,96,44
361,2,194,154,62,44
362,311,252,156,78,12
363,2,232,160,74,12
364,265,240,154,74,8
365,247,248,380,40,26
366,2,220,214,150,30
367,10,274,292,94,28
368,2,240,134,118,16
369,2,260,176,130,18
370,2,334,132,44,14
371,353,242,122,70,8
372,4,234,158,62,10
373,169,174,160,56,26
374,245,288,202,108,22
375,253,174,238,94,20
376,257,248,148,102,20
377,6,180,132,74,26
378,2,204,132,62,52
379,305,240,150,92,6
380,265,250,200,64,58
381,311,220,228,182,12
382,343,286,264,126,16
383,317,208,196,136,22
384,273,178,190,96,18
385,195,272,178,286,16
386,2,240,164,54,16
387,307,252,114,60,24
388,4,314,158,84,22
389,2,248,218,98,30
390,2,224,290,76,16
391,12,316,172,68,10
392,243,226,220,114,20
393,6,202,146,92,6
394,417,180,132,114,10
395,2,346,176,56,22
396,283,208,210,88,6
397,229,232,186,62,14
398,171,264,148,50,34
399,16,210,120,102,8
400,4,344,270,80,52
401,4,254,102,76,18
402,279,270,200,86,18
403,283,258,208,148,14
404,425,168,124,154,16
405,259,302,162,70,26
406,2,270,98,58,16
407,12,248,110,112,18
408,4,196,106,144,6
409,225,272,298,52,6
410,199,248,112,92,20
411,38,262,174,72,8
412,235,302,182,68,24
413,6,350,202,124,14
414,2,246,206,142,18
415,4,268,228,74,20
416,2,188,114,46,62
417,4,214,160,52,10
418,501,164,202,86,14
419,2,224,252,76,6
420,2,266,142,78,18
421,2,244,124,86,10
422,2,164,240,124,54
423,2,230,188,94,12
424,2,198,150,72,10
425,253,286,110,50,8
426,289,240,160,164,22
427,213,204,134,50,6
428,4,150,270,68,6
429,311,180,180,48,18
430,2,214,118,122,20
431,265,300,126,82,20
432,181,322,162,136,12
433,217,146,184,168,20
434,231,192,200,78,6
435,2,330,148,114,22
436,245,330,190,86,16
437,4,294,252,94,54
438,2,196,154,128,14
439,275,322,278,56,14
440,4,228,112,74,12
441,4,158,142,116,10
442,4,190,164,96,22
443,2,188,178,106,40
444,10,258,136,82,74
445,299,300,210,56,24
446,421,180,128,60,22
447,24,240,130,138,86
448,279,392,238,178,10
449,6,226,204,42,26
450,2,178,138,170,18
451,215,336,164,58,30
452,2,302,164,92,12
453,6,258,222,64,12
454,207,250,188,106,12
455,229,230,160,58,12
456,2,256,144,76,26
457,209,204,250,150,22
458,309,298,162,96,16
459,2,198,142,170,10
460,2,368,174,162,34
461,2,176,224,148,24
462,8,230,240,68,10
463,255,182,150,136,66
464,2,264,188,112,14
465,2,242,198,82,26
466,253,196,260,86,6
467,2,218,158,84,6
468,385,242,170,124,42
469,4,206,162,100,6
470,2,302,172,92,14
471,279,284,150,154,28
472,2,278,238,64,18
473,395,262,218,76,14
474,231,186,146,92,6
475,6,264,202,68,10
476,4,254,164,60,36
477,10,236,212,84,8
478,6,302,142,88,26
479,223,254,148,68,46
480,2,356,168,124,76
481,267,250,208,48,14
482,251,210,206,86,14
483,2,258,210,70,12
484,227,196,120,46,20
485,2,276,168,84,24
486,2,294,258,64,8
487,249,230,232,74,26
488,2,272,112,80,10
489,205,324,228,136,6
490,4,306,108,86,22
491,263,228,154,130,8
492,12,264,128,62,8
493,2,152,122,112,50
494,6,218,190,52,8
495,16,212,182,62,30
496,4,276,106,148,6
497,2,278,240,122,6
498,2,200,188,58,24
499,2,214,114,120,14
500,2,312,132,78,36
501,289,224,216,74,20
502,171,156,88,104,32
503,4,218,122,116,14
504,2,224,176,52,8
505,251,440,152,88,26
506,2,288,112,124,30
507,341,214,178,90,10
508,237,280,168,56,32
509,38,290,152,52,6
510,217,204,154,134,14
511,6,330,172,76,8
512,355,294,150,138,8
513,2,402,150,108,26
514,203,252,156,190,12
515,2,286,222,88,8
516,323,262,150,56,12
517,201,256,242,94,24
518,283,234,108,120,18
519,4,362,112,102,20
520,277,244,154,158,10
521,321,234,268,70,6
522,4,232,122,122,30
523,2,152,220,106,6
524,2,246,120,86,12
525,249,334,118,72,10
526,2,172,130,84,32
527,2,326,200,132,6
528,295,286,168,140,42
529,4,214,158,88,26
530,4,276,100,118,6
531,187,204,184,72,20
532,2,220,210,94,62
533,275,216,128,122,36
534,299,258,120,54,26
535,2,288,120,178,10
536,2,174,234,134,8
537,237,198,80,110,30
538,281,238,206,224,10
539,373,352,218,66,18
540,4,192,224,64,30
541,239,242,248,92,16
542,2,196,216,72,38
543,331,200,106,138,6
544,10,284,236,80,24
545,289,228,178,74,12
546,2,234,182,202,18
547,2,190,124,36,48
548,2,244,176,156,40
549,2,198,142,72,20
550,2,302,196,98,16
551,273,276,108,62,10
552,4,152,268,132,16
553,193,254,148,62,12
554,195,206,242,152,22
555,221,190,150,136,16
556,285,214,174,90,28
557,16,296,182,102,20
558,2,292,184,52,8
559,219,154,218,86,12
560,2,276,166,70,10
561,199,258,184,100,12
562,2,352,116,74,24
563,2,282,118,80,10
564,389,188,234,212,16
565,293,230,190,76,10
566,2,280,300,82,18
567,355,250,178,102,14
568,4,198,204,128,6
569,2,208,208,164,10
570,2,318,218,56,20
571,201,200,160,96,28
572,2,292,108,56,26
573,317,316,248,78,24
574,2,180,112,84,14
575,289,220,138,62,36
576,235,236,196,90,10
577,2,282,194,144,10
578,237,296,180,48,28
579,4,346,224,114,16
580,4,154,178,154,14
581,2,230,190,130,20
582,191,246,138,96,20
583,2,364,146,76,32
584,341,220,218,46,20
585,2,246,206,72,6
586,2,336,282,104,18
587,281,328,110,112,16
588,2,302,158,90,30
589,2,288,170,122,56
590,209,240,126,64,28
591,2,330,170,68,18
592,2,170,104,78,30
593,2,246,108,86,10
594,2,192,132,102,6
595,299,258,78,100,16
596,369,262,140,146,8
597,2,268,126,66,18
598,417,302,256,136,12
599,391,298,196,150,30
600,6,236,140,142,6
601,12,226,208,64,16
602,2,340,114,106,8
603,2,170,182,134,22
604,305,232,168,98,26
605,2,214,138,100,10
606,171,172,160,98,24
607,2,222,108,96,20
608,6,292,180,70,6
609,229,336,168,56,36
610,215,240,180,70,12
611,2,212,182,94,6
612,2,150,172,108,32
613,4,224,128,54,14
614,2,236,154,82,32
615,2,310,104,114,10
616,8,288,252,66,12
617,2,166,154,124,10
618,2,244,160,90,16
619,2,336,114,68,16
620,10,240,162,76,66
621,277,258,282,74,8
622,2,176,192,86,10
623,255,330,144,74,8
624,283,372,168,138,8
625,2,236,238,160,12
626,2,188,160,96,6
627,279,292,226,50,18
628,303,252,100,94,28
629,8,292,188,124,20
