obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,0,1,1,1,1
2,1,1,1,1,1
3,0,1,1,1,1
4,0,1,1,1,1
5,0,1,1,1,1
6,0,1,1,1,1
7,0,1,1,1,1
8,0,1,1,1,1
9,0,1,1,1,1
10,0,1,1,1,1
11,0,1,1,1,1
12,1,1,1,1,1
13,0,1,1,1,1
14,1,1,1,1,1
15,0,1,1,1,1
16,0,1,1,1,1
17,1,1,1,1,1
18,0,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,0,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,0,1,1,1,1
25,0,1,1,1,1
26,0,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,0,1,1,1,1
31,0,1,1,1,1
32,0,1,1,1,1
33,0,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,0,1,1,1,1
37,0,1,1,1,1
38,1,1,1,1,1
39,0,1,1,1,1
40,1,1,1,1,1
41,0,1,1,1,1
42,1,1,1,1,1
43,0,1,1,1,1
44,1,1,1,1,1
45,0,1,1,1,1
46,0,1,1,1,1
47,1,1,1,1,1
48,0,1,1,1,1
49,0,1,1,1,1
50,1,1,1,1,1
51,1,1,1,1,1
52,0,1,1,1,1
53,0,1,1,1,1
54,1,1,1,1,1
55,0,1,1,1,1
56,1,1,1,1,1
57,1,1,1,1,1
58,0,1,1,1,1
59,0,1,1,1,1
60,0,1,1,1,1
61,0,1,1,1,1
62,0,1,1,1,1
63,0,1,1,1,1
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,1
67,1,1,1,1,1
68,1,1,1,1,1
69,0,1,1,1,1
70,1,1,1,1,1
71,0,1,1,1,1
72,0,1,1,1,1
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,0,1,1,1,1
77,0,1,1,1,1
78,1,1,1,1,1
79,0,1,1,1,1
80,0,1,1,1,1
81,0,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,1
84,0,1,1,1,1
85,1,1,1,1,1
86,0,1,1,1,1
87,0,1,1,1,1
88,1,1,1,1,1
89,0,1,1,1,1
90,0,1,1,1,1
91,0,1,1,1,1
92,0,1,1,1,1
93,0,1,1,1,1
94,0,1,1,1,1
95,0,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,0,1,1,1,1
99,0,1,1,1,1
100,0,1,1,1,1
101,1,1,1,1,1
102,0,1,1,1,1
103,0,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,1
106,0,1,1,1,1
107,0,1,1,1,1
108,0,1,1,1,1
109,0,1,1,1,1
110,1,1,1,1,1
111,1,1,1,1,1
112,1,1,1,1,1
113,0,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,0,1,1,1,1
117,0,1,1,1,1
118,1,1,1,1,1
119,0,1,1,1,1
120,0,1,1,1,1
121,0,1,1,1,1
122,0,1,1,1,1
123,0,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,0,1,1,1,1
127,0,1,1,1,1
128,0,1,1,1,1
129,0,1,1,1,1
130,0,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,1
134,1,1,1,1,1
135,0,1,1,1,1
136,1,1,1,1,1
137,0,1,1,1,1
138,0,0,1,1,1
139,0,1,1,1,1
140,1,1,1,1,1
141,0,1,1,1,1
142,1,1,1,1,1
143,0,1,1,1,1
144,0,1,1,1,1
145,1,1,1,1,1
146,0,1,1,1,1
147,1,1,1,1,1
148,1,1,1,1,1
149,0,1,1,1,1
150,1,1,1,1,1
151,0,1,1,1,1
152,0,1,1,1,1
153,1,1,1,1,1
154,0,1,1,1,1
155,0,1,1,1,1
156,0,1,1,1,1
157,1,1,1,1,1
158,1,1,1,1,1
159,1,1,1,1,1
160,0,1,1,1,1
161,0,1,1,1,1
162,0,1,1,1,1
163,0,1,1,1,1
164,1,1,1,1,1
165,1,1,1,1,1
166,1,1,1,1,1
167,1,1,1,1,1
168,0,1,1,1,1
169,0,1,1,1,1
170,0,1,1,1,1
171,1,1,1,1,1
172,0,1,1,1,1
173,0,1,1,1,1
174,0,1,1,1,1
175,1,1,1,1,1
176,0,1,1,1,1
177,0,1,1,1,1
178,1,1,1,1,1
179,1,1,1,1,1
180,0,1,1,1,1
181,0,1,1,1,1
182,0,1,1,1,1
183,1,1,1,1,1
184,0,1,1,1,1
185,1,1,1,1,1
186,0,1,1,1,1
187,0,1,1,1,1
188,0,1,1,1,1
189,0,1,1,1,1
190,1,1,1,1,1
191,1,1,1,1,1
192,0,1,1,1,1
193,0,1,1,1,1
194,0,1,1,1,1
195,0,1,1,1,1
196,1,1,1,1,1
197,0,1,1,1,1
198,0,1,1,1,1
199,0,1,1,1,1
200,1,1,1,1,1
201,0,1,1,1,1
202,0,1,1,1,1
203,1,1,1,1,1
204,1,1,1,1,1
205,0,1,1,1,1
206,0,1,1,1,1
207,1,1,1,1,1
208,0,1,1,1,1
209,0,1,1,1,1
210,0,1,1,1,1
211,1,1,1,1,1
212,1,1,1,1,1
213,1,1,1,1,1
214,1,1,1,1,1
215,0,1,1,1,1
216,0,1,1,1,1
217,0,1,1,1,1
218,0,1,1,1,1
219,1,1,1,1,1
220,1,1,1,1,1
221,0,1,1,1,1
222,1,1,1,1,1
223,1,1,1,1,1
224,0,1,1,1,1
225,0,1,1,1,1
226,1,1,1,1,1
227,0,1,1,1,1
228,0,1,1,1,1
229,1,1,1,1,1
230,0,1,1,1,1
231,1,1,1,1,1
232,0,1,1,1,1
233,1,1,1,1,1
234,0,1,1,1,1
235,1,1,1,1,1
236,0,1,1,1,1
237,1,1,1,1,1
238,1,1,1,1,1
239,0,1,1,1,1
240,1,1,1,1,1
241,0,1,1,1,1
242,1,1,1,1,1
243,1,1,1,1,1
244,0,1,1,1,1
245,1,1,1,1,1
246,0,1,1,1,1
247,0,1,1,1,1
248,0,1,1,1,1
249,1,1,1,1,1
250,0,1,1,1,1
251,0,1,1,1,1
252,1,1,1,1,1
253,0,1,1,1,1
254,0,1,1,1,1
255,0,1,1,1,1
256,1,1,1,1,1
257,0,1,1,1,1
258,0,1,1,1,1
259,1,1,1,1,1
260,1,1,1,1,1
261,0,1,1,1,1
262,0,1,1,1,1
263,0,1,1,1,1
264,1,1,1,1,1
265,0,1,1,1,1
266,0,1,1,1,1
267,0,1,1,1,1
268,0,1,1,1,1
269,0,1,1,1,1
270,0,1,1,1,1
271,0,1,1,1,1
272,0,1,1,1,1
273,0,1,1,1,1
274,1,1,1,1,1
275,0,1,1,1,1
276,0,1,1,1,1
277,1,1,1,1,1
278,1,1,1,1,1
279,0,1,1,1,1
280,0,1,1,1,1
281,0,1,1,1,1
282,0,1,1,1,1
283,0,1,1,1,1
284,1,1,1,1,1
285,0,1,1,1,1
286,0,1,1,1,1
287,1,1,1,1,1
288,1,1,1,1,1
289,0,1,1,1,1
290,0,1,1,1,1
291,0,1,1,1,1
292,0,1,1,1,1
293,0,1,1,1,1
294,1,1,1,1,1
295,0,1,1,1,1
296,1,1,1,1,1
